experiment,final_log_loss,accuracy,last_epoch_misclassified
"lr=0.1, epochs=20",0.618487406947878,0.77,4
"lr=0.1, epochs=50",0.5953275822442393,0.92,4
"lr=0.1, epochs=100",0.5705480257092641,0.81,6
